Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,CR_mean
1,2.7423375084189567,98124509242214.84,0.7425875,3,2.3578019766212206,99081259761639.48,0.74808127,26,25.708784763540947,98478138832218.48,0.4647747,5,2.7355049668914777,98930211700001.5,2.5119636,4,3.8733249172816753,97117703133197.31,2.8792965,0,0.9003764353851261,98304050900303.19,0.7607125,2,1.6596062047507367,96478092700272.03,0.47435173,0,2.387482986560643,98631003228746.28,0.8042819,4,2.426449478258541,99345656858219.73,0.81448555,4,2.464055280131407,99076560632717.61,0.8501727,4.9818660736311836e-14
1,1.3518554488373806,98124509242214.84,0.7425875,2,1.3327954651872145,99081259761639.48,0.74808127,4,3.65638818855405,98478138832218.48,0.4647747,3,6.197049848508469,98930211700001.5,2.5119636,4,4.649555710548025,97117703133197.31,2.8792965,1,1.9880956604407318,98304050900303.19,0.7607125,1,1.028050180354143,96478092700272.03,0.47435173,7,3.882732006687416,98631003228746.28,0.8042819,0,2.037361085141745,99345656858219.73,0.81448555,5,3.5748413944088298,99076560632717.61,0.8501727,2.8467806135035337e-14
1,2.260873944513074,98124509242214.84,0.7425875,1,2.0839612086243866,99081259761639.48,0.74808127,1,1.8882362786761087,98478138832218.48,0.4647747,4,4.744758198225172,98930211700001.5,2.5119636,4,4.217792173085273,97117703133197.31,2.8792965,3,1.7875155691262412,98304050900303.19,0.7607125,2,2.3012191246591645,96478092700272.03,0.47435173,3,2.0572030571164093,98631003228746.28,0.8042819,0,1.3870715262936701,99345656858219.73,0.81448555,1,1.917909292401588,99076560632717.61,0.8501727,2.0334147239310953e-14
6,3.327223521027247,98124509242214.84,0.7425875,1,0.8541404086075305,99081259761639.48,0.74808127,3,4.094578525192263,98478138832218.48,0.4647747,14,25.911100687707258,98930211700001.5,2.5119636,7,10.33378921464356,97117703133197.31,2.8792965,10,6.075430035972378,98304050900303.19,0.7607125,0,1.2236630350747086,96478092700272.03,0.47435173,0,0.9614045779978154,98631003228746.28,0.8042819,2,1.028798922129278,99345656858219.73,0.81448555,1,2.515101548954217,99076560632717.61,0.8501727,4.47351239264841e-14
1,1.1721881123800124,98124509242214.84,0.7425875,1,1.6558975258124882,99081259761639.48,0.74808127,2,1.696391159111009,98478138832218.48,0.4647747,8,3.4445670719577914,98930211700001.5,2.5119636,11,5.348605258764634,97117703133197.31,2.8792965,4,2.521251844368622,98304050900303.19,0.7607125,3,1.972283010714474,96478092700272.03,0.47435173,3,1.6717726229692191,98631003228746.28,0.8042819,1,2.166907383473231,99345656858219.73,0.81448555,2,2.79173631144548,99076560632717.61,0.8501727,3.660146503075972e-14
1,2.520312248895595,98124509242214.84,0.7425875,22,17.7119269981363,99081259761639.48,0.74808127,0,1.2319712498733102,98478138832218.48,0.4647747,4,5.129813524001218,98930211700001.5,2.5119636,4,3.6779581767128287,97117703133197.31,2.8792965,0,1.0003066676156214,98304050900303.19,0.7607125,1,0.6213864926664303,96478092700272.03,0.47435173,6,2.687469355557514,98631003228746.28,0.8042819,1,2.577679462495141,99345656858219.73,0.81448555,2,1.448722402314648,99076560632717.61,0.8501727,4.1685001840587456e-14
1,1.9466707241362562,98124509242214.84,0.7425875,17,12.2764727877109,99081259761639.48,0.74808127,1,1.265890231002203,98478138832218.48,0.4647747,3,2.8951410563452464,98930211700001.5,2.5119636,1,3.874142981871965,97117703133197.31,2.8792965,5,3.3720738077506356,98304050900303.19,0.7607125,1,2.2620295607571563,96478092700272.03,0.47435173,1,1.743830453767989,98631003228746.28,0.8042819,6,1.4854728426599642,99345656858219.73,0.81448555,2,2.976556992694081,99076560632717.61,0.8501727,3.8634879754690815e-14
2,0.8792004853250727,98124509242214.84,0.7425875,1,1.4286078438272196,99081259761639.48,0.74808127,0,0.9820490067693505,98478138832218.48,0.4647747,1,3.680130629117719,98930211700001.5,2.5119636,5,7.390786748626464,97117703133197.31,2.8792965,0,1.2212500902921337,98304050900303.19,0.7607125,12,10.464117859534946,96478092700272.03,0.47435173,7,5.538230099037582,98631003228746.28,0.8042819,0,1.150340689789638,99345656858219.73,0.81448555,2,1.5574429448187004,99076560632717.61,0.8501727,3.050122085896643e-14
9,3.8157916098996454,98124509242214.84,0.7425875,5,6.907451966675606,99081259761639.48,0.74808127,2,2.2191011084641974,98478138832218.48,0.4647747,3,4.028337522306302,98930211700001.5,2.5119636,4,3.3052530370813358,97117703133197.31,2.8792965,3,0.9625965332981612,98304050900303.19,0.7607125,2,2.799878366347113,96478092700272.03,0.47435173,3,2.47820812803092,98631003228746.28,0.8042819,3,2.575633423885842,99345656858219.73,0.81448555,1,1.622911895395411,99076560632717.61,0.8501727,3.558475766879417e-14
0,2.2426973177652982,98124509242214.84,0.7425875,12,7.914352401269542,99081259761639.48,0.74808127,0,0.6153124485283148,98478138832218.48,0.4647747,4,3.734436079747197,98930211700001.5,2.5119636,3,3.5053023914482115,97117703133197.31,2.8792965,5,4.188906150246842,98304050900303.19,0.7607125,0,1.881301901694426,96478092700272.03,0.47435173,3,1.6790987878143466,98631003228746.28,0.8042819,2,2.0055978854226577,99345656858219.73,0.81448555,1,1.0499266760423556,99076560632717.61,0.8501727,3.050122085896643e-14
7,5.2104841801570725,98124509242214.84,0.7425875,1,3.1096940682131087,99081259761639.48,0.74808127,3,3.8211467695431462,98478138832218.48,0.4647747,6,7.556250292157043,98930211700001.5,2.5119636,5,4.129394690480772,97117703133197.31,2.8792965,0,1.3242968266108637,98304050900303.19,0.7607125,1,1.2438443539920896,96478092700272.03,0.47435173,1,1.7217383112443922,98631003228746.28,0.8042819,0,1.1012130638263775,99345656858219.73,0.81448555,1,1.2639451174758898,99076560632717.61,0.8501727,2.5417684049138693e-14
2,0.8620551693106208,98124509242214.84,0.7425875,2,0.9486875235957337,99081259761639.48,0.74808127,1,2.2775798724887615,98478138832218.48,0.4647747,7,4.9227080524937366,98930211700001.5,2.5119636,6,4.143350182841217,97117703133197.31,2.8792965,0,1.1792165934400765,98304050900303.19,0.7607125,6,2.942559054454397,96478092700272.03,0.47435173,2,1.1124457109077082,98631003228746.28,0.8042819,2,2.0445298571640764,99345656858219.73,0.81448555,2,1.7614333679084095,99076560632717.61,0.8501727,3.050122085896643e-14
